culture,bert_f1_label_vs_meaning,bert_f1_label_vs_gesture,bert_f1_meaning_vs_gesture
Canadian,0.8130504190921783,0.8290525898337364,0.8249873220920563
French,0.8242899179458618,0.831156012084749,0.8239717483520508
Indian,0.8236766854921976,0.8341938098271687,0.850117834409078
Italian,0.8220698204305437,0.8311660024854872,0.839304013384713
Korean,0.7749518156051636,0.8563317358493805,0.7779576815664768
Mexican,0.8250072518984477,0.8430794397989909,0.8431097745895386
Persian,0.7465988099575043,0.8362548410892486,0.7567732393741607
Portuguese,0.6625842809677124,0.8482379496097565,0.6799008429050446
Vietnamese,0.8389851301908493,0.8566345013678074,0.8511892706155777
